Id,Expected
0,neutral
1,neutral
2,surprise
3,neutral
4,neutral
5,neutral
6,anger
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,joy
14,surprise
15,neutral
16,neutral
17,surprise
18,neutral
19,non-neutral
20,surprise
21,neutral
22,non-neutral
23,neutral
24,surprise
25,neutral
26,neutral
27,anger
28,anger
29,neutral
30,surprise
31,surprise
32,neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,anger
47,neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,neutral
64,neutral
65,surprise
66,non-neutral
67,surprise
68,neutral
69,neutral
70,surprise
71,neutral
72,neutral
73,neutral
74,neutral
75,neutral
76,neutral
77,non-neutral
78,neutral
79,neutral
80,neutral
81,neutral
82,neutral
83,neutral
84,surprise
85,surprise
86,surprise
87,non-neutral
88,surprise
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,surprise
100,neutral
101,surprise
102,neutral
103,neutral
104,neutral
105,surprise
106,surprise
107,neutral
108,joy
109,surprise
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,neutral
118,neutral
119,neutral
120,surprise
121,neutral
122,non-neutral
123,non-neutral
124,neutral
125,neutral
126,neutral
127,anger
128,neutral
129,neutral
130,neutral
131,neutral
132,non-neutral
133,neutral
134,surprise
135,non-neutral
136,surprise
137,non-neutral
138,neutral
139,non-neutral
140,non-neutral
141,surprise
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,neutral
148,neutral
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,non-neutral
155,surprise
156,neutral
157,neutral
158,neutral
159,joy
160,surprise
161,neutral
162,neutral
163,neutral
164,neutral
165,neutral
166,neutral
167,neutral
168,surprise
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,surprise
175,neutral
176,neutral
177,surprise
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,surprise
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,surprise
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,joy
205,non-neutral
206,anger
207,anger
208,non-neutral
209,surprise
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,non-neutral
217,surprise
218,non-neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,anger
224,anger
225,neutral
226,neutral
227,non-neutral
228,neutral
229,neutral
230,surprise
231,surprise
232,neutral
233,neutral
234,neutral
235,neutral
236,disgust
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,surprise
243,neutral
244,neutral
245,surprise
246,anger
247,neutral
248,neutral
249,neutral
250,non-neutral
251,neutral
252,neutral
253,surprise
254,neutral
255,non-neutral
256,neutral
257,neutral
258,surprise
259,neutral
260,surprise
261,neutral
262,neutral
263,neutral
264,joy
265,neutral
266,neutral
267,neutral
268,neutral
269,non-neutral
270,neutral
271,neutral
272,neutral
273,surprise
274,surprise
275,neutral
276,surprise
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,surprise
292,neutral
293,neutral
294,joy
295,surprise
296,surprise
297,surprise
298,joy
299,neutral
300,neutral
301,neutral
302,surprise
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,neutral
309,neutral
310,neutral
311,surprise
312,non-neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,surprise
320,surprise
321,surprise
322,neutral
323,neutral
324,neutral
325,surprise
326,non-neutral
327,neutral
328,surprise
329,neutral
330,non-neutral
331,non-neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,joy
337,non-neutral
338,neutral
339,neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,neutral
345,neutral
346,non-neutral
347,neutral
348,neutral
349,neutral
350,neutral
351,non-neutral
352,joy
353,surprise
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,neutral
360,neutral
361,neutral
362,neutral
363,neutral
364,non-neutral
365,surprise
366,neutral
367,surprise
368,neutral
369,non-neutral
370,neutral
371,neutral
372,surprise
373,neutral
374,surprise
375,surprise
376,neutral
377,neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,neutral
383,neutral
384,anger
385,neutral
386,neutral
387,neutral
388,neutral
389,neutral
390,neutral
391,surprise
392,neutral
393,non-neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,surprise
399,neutral
400,neutral
401,neutral
402,surprise
403,surprise
404,anger
405,surprise
406,neutral
407,surprise
408,neutral
409,neutral
410,surprise
411,surprise
412,neutral
413,joy
414,surprise
415,surprise
416,neutral
417,neutral
418,surprise
419,surprise
420,neutral
421,neutral
422,anger
423,neutral
424,neutral
425,neutral
426,neutral
427,surprise
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,anger
434,neutral
435,surprise
436,non-neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,joy
443,surprise
444,neutral
445,neutral
446,neutral
447,neutral
448,neutral
449,neutral
450,neutral
451,neutral
452,surprise
453,neutral
454,neutral
455,surprise
456,neutral
457,neutral
458,neutral
459,neutral
460,non-neutral
461,non-neutral
462,neutral
463,non-neutral
464,neutral
465,neutral
466,neutral
467,neutral
468,surprise
469,neutral
470,neutral
471,surprise
472,neutral
473,non-neutral
474,neutral
475,non-neutral
476,neutral
477,non-neutral
478,anger
479,neutral
480,neutral
481,neutral
482,surprise
483,anger
484,surprise
485,neutral
486,neutral
487,neutral
488,neutral
489,anger
490,neutral
491,non-neutral
492,neutral
493,neutral
494,joy
495,surprise
496,neutral
497,neutral
498,neutral
499,neutral
500,neutral
501,non-neutral
502,neutral
503,neutral
504,neutral
505,neutral
506,neutral
507,surprise
508,surprise
509,neutral
510,surprise
511,neutral
512,neutral
513,neutral
514,non-neutral
515,neutral
516,surprise
517,neutral
518,neutral
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,surprise
531,surprise
532,anger
533,neutral
534,neutral
535,neutral
536,joy
537,neutral
538,surprise
539,neutral
540,neutral
541,neutral
542,neutral
543,surprise
544,neutral
545,neutral
546,neutral
547,surprise
548,neutral
549,surprise
550,surprise
551,neutral
552,neutral
553,neutral
554,neutral
555,surprise
556,surprise
557,neutral
558,neutral
559,neutral
560,surprise
561,neutral
562,neutral
563,neutral
564,joy
565,neutral
566,neutral
567,neutral
568,neutral
569,neutral
570,neutral
571,joy
572,neutral
573,neutral
574,neutral
575,surprise
576,neutral
577,neutral
578,neutral
579,neutral
580,neutral
581,neutral
582,neutral
583,neutral
584,neutral
585,neutral
586,neutral
587,neutral
588,neutral
589,neutral
590,neutral
591,surprise
592,joy
593,neutral
594,joy
595,surprise
596,neutral
597,neutral
598,surprise
599,surprise
600,surprise
601,neutral
602,neutral
603,neutral
604,neutral
605,neutral
606,neutral
607,surprise
608,neutral
609,neutral
610,neutral
611,neutral
612,non-neutral
613,neutral
614,neutral
615,anger
616,non-neutral
617,joy
618,anger
619,surprise
620,surprise
621,anger
622,neutral
623,neutral
624,neutral
625,non-neutral
626,neutral
627,neutral
628,neutral
629,neutral
630,surprise
631,neutral
632,anger
633,neutral
634,neutral
635,neutral
636,non-neutral
637,neutral
638,non-neutral
639,neutral
640,non-neutral
641,surprise
642,surprise
643,neutral
644,surprise
645,neutral
646,neutral
647,neutral
648,neutral
649,disgust
650,neutral
651,neutral
652,neutral
653,neutral
654,joy
655,neutral
656,neutral
657,neutral
658,neutral
659,neutral
660,neutral
661,neutral
662,neutral
663,neutral
664,anger
665,neutral
666,neutral
667,neutral
668,anger
669,neutral
670,neutral
671,neutral
672,neutral
673,disgust
674,neutral
675,surprise
676,neutral
677,neutral
678,neutral
679,neutral
680,neutral
681,neutral
682,neutral
683,neutral
684,neutral
685,neutral
686,neutral
687,surprise
688,surprise
689,neutral
690,neutral
691,surprise
692,neutral
693,neutral
694,neutral
695,neutral
696,neutral
697,neutral
698,neutral
699,surprise
700,surprise
701,neutral
702,joy
703,surprise
704,neutral
705,neutral
706,neutral
707,neutral
708,neutral
709,neutral
710,neutral
711,non-neutral
712,neutral
713,neutral
714,neutral
715,non-neutral
716,neutral
717,neutral
718,joy
719,neutral
720,neutral
721,neutral
722,neutral
723,neutral
724,non-neutral
725,neutral
726,neutral
727,neutral
728,neutral
729,neutral
730,neutral
731,neutral
732,neutral
733,neutral
734,neutral
735,neutral
736,neutral
737,neutral
738,neutral
739,neutral
740,neutral
741,anger
742,neutral
743,neutral
744,neutral
745,surprise
746,neutral
747,non-neutral
748,surprise
749,neutral
750,neutral
751,neutral
752,neutral
753,surprise
754,surprise
755,neutral
756,neutral
757,neutral
758,surprise
759,surprise
760,neutral
761,non-neutral
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,neutral
770,neutral
771,neutral
772,neutral
773,non-neutral
774,surprise
775,neutral
776,surprise
777,neutral
778,neutral
779,neutral
780,neutral
781,surprise
782,neutral
783,neutral
784,surprise
785,neutral
786,neutral
787,neutral
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,neutral
794,neutral
795,neutral
796,non-neutral
797,non-neutral
798,non-neutral
799,neutral
800,surprise
801,neutral
802,neutral
803,surprise
804,neutral
805,neutral
806,neutral
807,neutral
808,neutral
809,non-neutral
810,neutral
811,neutral
812,neutral
813,neutral
814,neutral
815,anger
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,disgust
823,neutral
824,neutral
825,surprise
826,surprise
827,neutral
828,neutral
829,neutral
830,neutral
831,neutral
832,neutral
833,surprise
834,non-neutral
835,neutral
836,surprise
837,neutral
838,neutral
839,neutral
840,neutral
841,neutral
842,neutral
843,neutral
844,neutral
845,neutral
846,disgust
847,joy
848,neutral
849,neutral
850,neutral
851,neutral
852,neutral
853,neutral
854,neutral
855,neutral
856,joy
857,neutral
858,neutral
859,neutral
860,surprise
861,neutral
862,neutral
863,neutral
864,neutral
865,neutral
866,neutral
867,neutral
868,neutral
869,neutral
870,surprise
871,neutral
872,neutral
873,non-neutral
874,non-neutral
875,neutral
876,neutral
877,neutral
878,neutral
879,neutral
880,anger
881,non-neutral
882,neutral
883,neutral
884,surprise
885,neutral
886,neutral
887,neutral
888,neutral
889,non-neutral
890,neutral
891,neutral
892,neutral
893,neutral
894,anger
895,neutral
896,surprise
897,neutral
898,neutral
899,neutral
900,neutral
901,neutral
902,neutral
903,neutral
904,neutral
905,neutral
906,neutral
907,neutral
908,surprise
909,surprise
910,surprise
911,neutral
912,surprise
913,neutral
914,surprise
915,surprise
916,neutral
917,neutral
918,neutral
919,non-neutral
920,neutral
921,neutral
922,neutral
923,neutral
924,disgust
925,neutral
926,surprise
927,neutral
928,neutral
929,non-neutral
930,neutral
931,surprise
932,neutral
933,neutral
934,neutral
935,neutral
936,neutral
937,neutral
938,neutral
939,anger
940,neutral
941,neutral
942,anger
943,surprise
944,neutral
945,neutral
946,non-neutral
947,neutral
948,neutral
949,surprise
950,neutral
951,neutral
952,surprise
953,neutral
954,non-neutral
955,neutral
956,neutral
957,neutral
958,surprise
959,non-neutral
960,neutral
961,surprise
962,neutral
963,neutral
964,neutral
965,neutral
966,surprise
967,neutral
968,neutral
969,neutral
970,neutral
971,neutral
972,surprise
973,joy
974,neutral
975,neutral
976,neutral
977,neutral
978,joy
979,neutral
980,neutral
981,surprise
982,surprise
983,neutral
984,neutral
985,surprise
986,neutral
987,neutral
988,neutral
989,neutral
990,joy
991,neutral
992,disgust
993,neutral
994,neutral
995,neutral
996,neutral
997,neutral
998,neutral
999,neutral
1000,neutral
1001,neutral
1002,neutral
1003,neutral
1004,neutral
1005,joy
1006,surprise
1007,neutral
1008,neutral
1009,neutral
1010,neutral
1011,neutral
1012,neutral
1013,neutral
1014,neutral
1015,neutral
1016,non-neutral
1017,neutral
1018,neutral
1019,neutral
1020,neutral
1021,neutral
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,neutral
1027,neutral
1028,neutral
1029,neutral
1030,neutral
1031,neutral
1032,non-neutral
1033,neutral
1034,neutral
1035,neutral
1036,neutral
1037,surprise
1038,neutral
1039,neutral
1040,neutral
1041,neutral
1042,surprise
1043,neutral
1044,neutral
1045,neutral
1046,neutral
1047,non-neutral
1048,surprise
1049,neutral
1050,neutral
1051,neutral
1052,neutral
1053,anger
1054,non-neutral
1055,neutral
1056,neutral
1057,non-neutral
1058,non-neutral
1059,non-neutral
1060,neutral
1061,surprise
1062,non-neutral
1063,anger
1064,surprise
1065,neutral
1066,joy
1067,neutral
1068,non-neutral
1069,surprise
1070,neutral
1071,neutral
1072,neutral
1073,neutral
1074,neutral
1075,neutral
1076,neutral
1077,non-neutral
1078,neutral
1079,surprise
1080,surprise
1081,neutral
1082,neutral
1083,neutral
1084,non-neutral
1085,neutral
1086,neutral
1087,neutral
1088,surprise
1089,neutral
1090,neutral
1091,neutral
1092,neutral
1093,neutral
1094,non-neutral
1095,surprise
1096,neutral
1097,neutral
1098,surprise
1099,neutral
1100,neutral
1101,neutral
1102,neutral
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,joy
1111,neutral
1112,neutral
1113,surprise
1114,neutral
1115,surprise
1116,neutral
1117,neutral
1118,anger
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,neutral
1125,neutral
1126,neutral
1127,neutral
1128,neutral
1129,surprise
1130,non-neutral
1131,disgust
1132,neutral
1133,surprise
1134,neutral
1135,non-neutral
1136,neutral
1137,non-neutral
1138,neutral
1139,neutral
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,neutral
1147,surprise
1148,surprise
1149,neutral
1150,neutral
1151,surprise
1152,neutral
1153,non-neutral
1154,neutral
1155,neutral
1156,neutral
1157,neutral
1158,neutral
1159,neutral
1160,neutral
1161,neutral
1162,surprise
1163,anger
1164,neutral
1165,neutral
1166,neutral
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,neutral
1172,surprise
1173,neutral
1174,neutral
1175,neutral
1176,non-neutral
1177,neutral
1178,neutral
1179,neutral
1180,neutral
1181,neutral
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,neutral
1189,neutral
1190,neutral
1191,neutral
1192,surprise
1193,surprise
1194,neutral
1195,neutral
1196,neutral
1197,surprise
1198,neutral
1199,neutral
1200,neutral
1201,surprise
1202,joy
1203,neutral
1204,surprise
1205,neutral
1206,neutral
1207,joy
1208,non-neutral
1209,neutral
1210,non-neutral
1211,non-neutral
1212,neutral
1213,neutral
1214,neutral
1215,surprise
1216,neutral
1217,neutral
1218,non-neutral
1219,neutral
1220,neutral
1221,surprise
1222,neutral
1223,neutral
1224,neutral
1225,neutral
1226,neutral
1227,neutral
1228,neutral
1229,neutral
1230,neutral
1231,neutral
1232,neutral
1233,surprise
1234,neutral
1235,neutral
1236,neutral
1237,neutral
1238,neutral
1239,neutral
1240,neutral
1241,non-neutral
1242,neutral
1243,neutral
1244,neutral
1245,neutral
1246,neutral
1247,surprise
1248,neutral
1249,surprise
1250,neutral
1251,neutral
1252,surprise
1253,surprise
1254,surprise
1255,neutral
1256,neutral
1257,neutral
1258,neutral
1259,neutral
1260,neutral
1261,neutral
1262,neutral
1263,joy
1264,neutral
1265,neutral
1266,neutral
1267,neutral
1268,neutral
1269,neutral
1270,neutral
1271,neutral
1272,neutral
1273,neutral
1274,neutral
1275,neutral
1276,neutral
1277,neutral
1278,neutral
1279,neutral
1280,neutral
1281,neutral
1282,surprise
1283,neutral
1284,surprise
1285,non-neutral
1286,neutral
1287,surprise
1288,neutral
1289,neutral
1290,surprise
1291,neutral
1292,surprise
1293,neutral
1294,disgust
1295,neutral
1296,anger
1297,joy
1298,surprise
1299,surprise
1300,neutral
1301,non-neutral
1302,neutral
1303,neutral
1304,surprise
1305,neutral
1306,neutral
1307,joy
1308,neutral
1309,surprise
1310,neutral
1311,neutral
1312,neutral
1313,neutral
1314,neutral
1315,neutral
1316,neutral
1317,anger
1318,neutral
1319,anger
1320,neutral
1321,neutral
1322,non-neutral
1323,neutral
1324,neutral
1325,non-neutral
1326,neutral
1327,neutral
1328,neutral
1329,neutral
1330,neutral
1331,neutral
1332,neutral
1333,neutral
1334,neutral
1335,neutral
1336,neutral
1337,surprise
1338,non-neutral
1339,neutral
1340,surprise
1341,neutral
1342,neutral
1343,surprise
1344,neutral
1345,neutral
1346,neutral
1347,neutral
1348,surprise
1349,non-neutral
1350,non-neutral
1351,neutral
1352,neutral
1353,neutral
1354,neutral
1355,neutral
1356,neutral
1357,surprise
1358,neutral
1359,neutral
1360,neutral
1361,neutral
1362,surprise
1363,neutral
1364,sadness
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,neutral
1370,neutral
1371,non-neutral
1372,neutral
1373,neutral
1374,non-neutral
1375,neutral
1376,neutral
1377,neutral
1378,neutral
1379,non-neutral
1380,surprise
1381,neutral
1382,sadness
1383,neutral
1384,neutral
1385,neutral
1386,neutral
1387,non-neutral
1388,neutral
1389,non-neutral
1390,non-neutral
1391,neutral
1392,neutral
1393,neutral
1394,neutral
1395,neutral
1396,neutral
1397,surprise
1398,neutral
1399,neutral
1400,neutral
1401,non-neutral
1402,neutral
1403,surprise
1404,neutral
1405,neutral
1406,neutral
1407,neutral
1408,neutral
1409,neutral
1410,surprise
1411,anger
1412,neutral
1413,neutral
1414,neutral
1415,non-neutral
1416,neutral
1417,neutral
1418,neutral
1419,neutral
1420,neutral
1421,neutral
1422,neutral
1423,surprise
1424,neutral
1425,surprise
1426,neutral
1427,neutral
1428,anger
1429,joy
1430,surprise
1431,surprise
1432,neutral
1433,neutral
1434,neutral
1435,neutral
1436,surprise
1437,neutral
1438,neutral
1439,neutral
1440,neutral
1441,neutral
1442,neutral
1443,neutral
1444,neutral
1445,non-neutral
1446,non-neutral
1447,neutral
1448,neutral
1449,anger
1450,surprise
1451,neutral
1452,neutral
1453,neutral
1454,surprise
1455,neutral
1456,surprise
1457,neutral
1458,neutral
1459,neutral
1460,neutral
1461,neutral
1462,surprise
1463,neutral
1464,neutral
1465,neutral
1466,neutral
1467,neutral
1468,neutral
1469,surprise
1470,neutral
1471,neutral
1472,neutral
1473,joy
1474,neutral
1475,neutral
1476,surprise
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,neutral
1482,neutral
1483,neutral
1484,anger
1485,neutral
1486,non-neutral
1487,neutral
1488,neutral
1489,surprise
1490,neutral
1491,surprise
1492,neutral
1493,non-neutral
1494,neutral
1495,surprise
1496,surprise
1497,neutral
1498,neutral
1499,neutral
1500,non-neutral
1501,neutral
1502,neutral
1503,neutral
1504,neutral
1505,neutral
1506,surprise
1507,surprise
1508,neutral
1509,neutral
1510,neutral
1511,neutral
1512,neutral
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,neutral
1518,neutral
1519,non-neutral
1520,joy
1521,non-neutral
1522,neutral
1523,neutral
1524,surprise
1525,neutral
1526,neutral
1527,neutral
1528,neutral
1529,neutral
1530,neutral
1531,neutral
1532,neutral
1533,neutral
1534,neutral
1535,disgust
1536,neutral
1537,neutral
1538,neutral
1539,surprise
1540,anger
1541,neutral
1542,surprise
1543,neutral
1544,neutral
1545,neutral
1546,neutral
1547,neutral
1548,neutral
1549,neutral
1550,surprise
1551,neutral
1552,neutral
1553,neutral
1554,neutral
1555,neutral
1556,neutral
1557,neutral
1558,neutral
1559,neutral
1560,neutral
1561,joy
1562,neutral
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,surprise
1568,surprise
1569,surprise
1570,neutral
1571,neutral
1572,neutral
1573,neutral
1574,neutral
1575,neutral
1576,neutral
1577,neutral
1578,neutral
1579,neutral
1580,neutral
1581,neutral
1582,neutral
1583,neutral
1584,neutral
1585,neutral
1586,neutral
1587,neutral
1588,neutral
1589,surprise
1590,surprise
1591,neutral
1592,neutral
1593,joy
1594,neutral
1595,neutral
1596,neutral
1597,neutral
1598,non-neutral
1599,neutral
1600,neutral
1601,surprise
1602,neutral
1603,neutral
1604,neutral
1605,neutral
1606,neutral
1607,neutral
1608,surprise
1609,anger
1610,anger
1611,neutral
1612,neutral
1613,surprise
1614,surprise
1615,neutral
1616,neutral
1617,neutral
1618,neutral
1619,neutral
1620,neutral
1621,neutral
1622,non-neutral
